address_line_1,city,postcode,latitude,longitude
15 St Marys Close,North Lincolnshire,DN17 4NP,53.609854,-0.8252
Park Place,Bath and North East Somerset,BS39 4EQ,51.362625,-2.575737
128 Pershore Avenue,Bradford,BD7 3JE,53.785587,-1.77974
6 Gala Drive,Slough,SL1 5UB,51.510894,-0.644514
"Highways, Broad Lane",Stockton-on-Tees,TS16 9HJ,54.520799,-1.34718
24 Tulse Hill,Belfast,BT9 6RD,54.560791,-5.955564
6 Eglos View,Wandsworth,SW18 1UF,51.458106,-0.192737
60 North Side,Rotherham,S62 7BP,53.467018,-1.343493
5 Stryd Llewelyn,Guildford,GU12 5EH,51.261701,-0.721138
4 Queens Grove,Maidstone,ME15 9DU,51.244976,0.551896
8 Cromwell Avenue,Westminster,SW1W 9PP,51.493486,-0.150912
4 Viewlands,Sefton,PR8 3TF,53.595472,-3.044394
34 Goldring Avenue,Sunderland,DH5 9FR,54.826545,-1.463713
"1 The Mews, 17 Brookley Road",Redbridge,IG8 0UQ,51.609789,0.021329
2 Oaklands Close,Lambeth,SE5 9BA,51.466873,-0.099495
151 Rose Hill Road,Norwich,NR1 3PS,52.620659,1.295188
203 Grangeway,Nottingham,NG5 2JR,52.980847,-1.147772
49 Kingscroft,East Suffolk,IP17 3DL,52.272931,1.622348
"Hughfield, Burradon Road",Basingstoke and Deane,RG21 7SG,51.265373,-1.09813
2 Lych Gate,Sheffield,S35 2EP,53.466005,-1.475101
67 School Lane,Isle of Anglesey,LL63 5SW,53.227177,-4.485562
15 The Waverleys,Dacorum,HP3 9QA,51.737731,-0.459876
1 Garden Cottages,Tunbridge Wells,TN4 0DY,51.153257,0.257514
8 Terrace Road,Shetland Islands,ZE2 9DR,60.758707,-0.857581
16 High Street,Causeway Coast and Glens,BT51 5FA,54.98387,-6.690696
69 The Gardens,"Kingston upon Hull, City of",HU7 4HP,53.792343,-0.331684
Garregwen,Nottingham,NG5 9RE,53.000106,-1.17639
1 Stanley Cottages,County Durham,SR7 9LB,54.822127,-1.379543
23 Castle Street,South Oxfordshire,RG9 4AX,51.521396,-0.901308
7 Sparrow Close,Fermanagh and Omagh,BT92 8HS,54.163851,-7.419237
77 Manvers Road,Renfrewshire,PA10 2NH,55.819741,-4.539618
6 Fieldside Road,Bury,BL8 3PQ,53.614984,-2.334902
"Apartment 3 Block A, The Printworks, Sizer Street",Aberdeenshire,AB32 6XX,57.161057,-2.326748
3 Nailers Row,Moray,AB54 7NE,57.524941,-2.755992
20 Tiree Close,Shropshire,SY2 5UY,52.7153,-2.717414
Tynings,Thanet,CT11 9YE,51.337883,1.412494
11 Springfield Lane,North Yorkshire,HG1 2HF,53.992664,-1.565089
Lonsdale Steel Craft,Mid Sussex,RH17 6PF,51.059867,-0.132308
"Sir Bedevere, Castle View",Bromley,BR4 0LN,51.379447,-0.021324
"Flat 11, 1 Brosse Way",Havering,RM13 8BD,51.530571,0.184925
Sunset Cottage,Walsall,WS9 8EP,52.605239,-1.94508
"4 Railway Cottage, Ripe Lane",Wakefield,WF4 5LG,53.659729,-1.556425
1 Locke Row,East Riding of Yorkshire,HU17 8BD,53.843279,-0.432579
6 Shellard Road,Buckinghamshire,HP13 5PH,51.647363,-0.735495
10 Lewis Close,Birmingham,B33 9BP,52.487881,-1.798067
2 Colne Bank,Dorset,DT4 0DA,50.605143,-2.46321
Unit 1 Mersey Road Industrial Estate,Gloucester,GL4 5YZ,51.832936,-2.206403
"Bunratty, The Mall",Basingstoke and Deane,RG26 3PD,51.344146,-1.136743
11 Yates Street,Hillingdon,UB10 8QD,51.557515,-0.451069
7 Ashburnham Road,North Lanarkshire,G69 7QN,55.854833,-4.080343
17 Bordale Avenue,"Kingston upon Hull, City of",HU5 5PH,53.757501,-0.411049
"Manderley, Norton Terrace",Trafford,WA15 6NS,53.395848,-2.325074
"Bryn Awelon, 25 Mount Street",Isle of Wight,PO33 2PH,50.729913,-1.162843
Unit 5 Enterprise Park,South Oxfordshire,OX11 8QT,51.600111,-1.25588
154 Church Road,Dundee City,DD2 2JJ,56.468875,-3.003805
Accar,Chelmsford,CM3 5NA,51.642044,0.609014
3 Tanycoed,Mid Ulster,BT71 7HP,54.411238,-6.708244
17 Acton Close,Bradford,BD5 7EP,53.78023,-1.753639
"Garn Villa, Penygarn",Rochdale,OL12 0NG,53.62194,-2.157739
"Viewpoint House, 240 London Road",Kingston upon Thames,KT1 3QS,51.412249,-0.285352
1 Launceston Road,City of London,EC4Y 1BJ,51.514045,-0.109195
"Meadow Cottage, Watery Lane",Wakefield,WF11 9AQ,53.709744,-1.246108
11 Argyll Close,Lambeth,SW4 8DQ,51.450145,-0.133507
3 The Promenade,Medway,ME8 0AY,51.364263,0.600834
38 Buckingham Road,Norwich,NR3 4HL,52.646749,1.307729
7 Gordon Road,Causeway Coast and Glens,BT52 1NA,55.129238,-6.663585
"The Limes, Shepherds Walk",Lambeth,SW8 1JJ,51.475176,-0.121974
"Willow Court Nursing Extension, Croft Lane",Thanet,CT7 0DY,51.367493,1.30602
11 St Stephens Drive,Cumberland,CA28 6SQ,54.549765,-3.566413
"Flat 10, Henry House, 111 Queens Road",Liverpool,L18 7JW,53.374795,-2.909369
7 Porthcressa Road,Birmingham,B42 2RD,52.546204,-1.912703
20 Rochford Way,Cheshire East,CW11 4TG,53.148844,-2.391161
"Adele House, Springwood Drive",Huntingdonshire,PE7 3ZQ,52.519226,-0.265451
14 Greyhound Lane,Buckinghamshire,HP20 2BQ,51.827009,-0.80191
"Pixton Lodge, Hartfield Road",Rhondda Cynon Taf,CF15 7TU,51.56172,-3.263686
Little Croft,Bromley,BR4 9QJ,51.363888,-0.004211
"Flat 68, Great Arthur House, Golden Lane Estate",Plymouth,PL5 1NQ,50.405862,-4.195335
9 Scotland Close,Windsor and Maidenhead,SL4 3AX,51.47891,-0.614631
10 Wellands Road,West Lothian,EH53 0LH,55.909093,-3.490328
53 Sun Street,South Holland,PE12 0EX,52.754959,0.066621
1 Manor Farm Cottages,Ribble Valley,BB2 7FS,53.777188,-2.565615
69 Longfield Road,Watford,WD17 4RU,51.671206,-0.412371
6 Myrtle Road,Hackney,E5 0TB,51.554447,-0.041781
"Larch Glen, Sandy Lane",County Durham,DL5 7AH,54.617701,-1.579261
"Apartment 1508, The Heron, 5 Moor Lane",Swansea,SA7 9LX,51.668957,-3.874237
58 Mell Road,Mid Ulster,BT80 9SZ,54.684759,-6.796884
4 Fairway,Hillingdon,UB7 9LE,51.503015,-0.462096
1 Sunset View,Wiltshire,SN10 3SJ,51.354516,-1.97976
6 Kerry Close,North Yorkshire,HG1 2PP,53.991881,-1.554186
3 Curlew Walk,Ceredigion,SY24 5NG,52.47931,-4.052753
41 Bailey Crescent,Cotswold,GL7 1NH,51.706615,-1.958245
"Flat 5, 42 Park Square North",Gloucester,GL1 3LJ,51.871739,-2.226726
54 Burbage Road,Hammersmith and Fulham,W12 0HS,51.51742,-0.234721
Sunnyside,Islington,N19 5FF,51.5655,-0.134965
"Woodhay, Portsmouth Road",Antrim and Newtownabbey,BT41 4HQ,54.706748,-6.22132
1 South Street,South Oxfordshire,OX49 5TT,51.671413,-0.970065
35C Ramsons Avenue,Bath and North East Somerset,BA2 4AY,51.382996,-2.357864
5 Aldershot Walk,Ealing,UB5 4JB,51.552306,-0.38093
Old Dairy Cottage,Uttlesford,CB10 2AA,52.025219,0.245865
196 Oldbury Road,East Devon,EX15 2NJ,50.793516,-3.376242
Whitecross Farmhouse,County Durham,DH2 3TP,54.844606,-1.590188
"Teal Hatch, Friars Road",Mansfield,NG19 7HX,53.158723,-1.213753
"Yew Tree Cottage, Park Lane",Aberdeen City,AB21 9AL,57.179535,-2.173777
36 Cotmer Road,Enfield,N11 2BG,51.609641,-0.123708
"Cranford Cottage, High Street",Gravesham,DA12 5UB,51.410449,0.386446
8 Priory Close,North Somerset,BS22 7RJ,51.364678,-2.902533
"The Rectory, Westerfield Road",Gwynedd,LL36 9LW,52.589541,-4.078565
13 Evesham Road,Vale of White Horse,OX1 5LH,51.718672,-1.24612
2 Bullion Lane,Merton,SM4 6EU,51.393012,-0.186014
44 Molineux Street,Derry City and Strabane,BT48 0NN,55.012355,-7.343039
The Elms,Derry City and Strabane,BT82 9FJ,54.818313,-7.485482
38 Davison Avenue,Salford,M5 3FR,53.469892,-2.27656
1 Dadson Court,Falkirk,FK2 7JN,56.011194,-3.79583
"Goodfellow Farm, Church Lane",Rugby,CV22 5GF,52.348372,-1.267802
67 Lisle Grove,Elmbridge,KT7 0TA,51.386917,-0.328912
33 Clifford Street,Basildon,CM12 0HS,51.63456,0.409697
"2 Lavender Court, Ferringham Lane","Kingston upon Hull, City of",HU8 9ST,53.782214,-0.262813
5 Acacia Way,Coventry,CV3 9SQ,52.381739,-1.4608
"Flat 1, 2 Saltoun Road",Monmouthshire,NP7 7ET,51.838164,-3.067712
"Glanwenny Lodge, Ewenny Road",North Warwickshire,B46 2NN,52.516355,-1.611464
"Pyecombe Lodge, Church Lane",City of Edinburgh,EH15 1BD,55.952537,-3.118951
46 Kerria Way,Oxford,OX2 8HL,51.78904,-1.269649
"The Old Chapel, 43 Westfield Road",South Oxfordshire,OX9 3LR,51.74135,-0.966115
9 North Rise,Sunderland,DH4 7SG,54.877962,-1.511862
1 Anstiebury Close,North Yorkshire,YO60 7BA,54.102602,-0.929418
"Flat 16, Stag Heights, 2 Stag Lane",Hackney,E9 5JU,51.546012,-0.032148
32 New Street,Dumfries and Galloway,DG3 4ER,55.160548,-3.994499
1 Warren Place,Havering,RM3 8YW,51.605372,0.222714
"Flat 192, Glebe Court, London Road",Birmingham,B20 3LA,52.510243,-1.903737
1 New Ealing Broadway,Leeds,WF3 1TJ,53.729189,-1.571095
2 Bandleyside Cottage,Conwy,LL29 6DB,53.287072,-3.738289
50 Mendip Crescent,Wigan,M29 7NB,53.502585,-2.449921
49 Manor Way,Calderdale,HX3 6HL,53.731958,-1.861239
3 Bryn Draw Terrace,Monmouthshire,NP16 5PA,51.641175,-2.67351
20 Crane Street,Manchester,M40 5HR,53.509835,-2.189952
10 Newport Road,Liverpool,L18 2EU,53.389454,-2.901322
97 Nottingham Road,Chelmsford,CM1 2LJ,51.744421,0.442703
5 Monmouth Road,Erewash,DE7 4ER,52.956206,-1.328611
11 Briarbank Avenue,Surrey Heath,GU15 4BA,51.351846,-0.72594
"North Oaks, Frith Lane",North East Lincolnshire,DN35 0JJ,53.547191,-0.027188
1 Helford Walk,Fareham,SO31 6EQ,50.862642,-1.286906
"Kirkstone Pass, Downs Stables, Manor Road",Nottingham,NG3 1GH,52.956202,-1.137032
25 Victoria Street,Lewisham,SE10 8AU,51.470322,-0.007704
"Fallowfields, Shaftesbury Road",West Dunbartonshire,G82 3EB,55.957918,-4.55307
35 Harcourt Road,St Albans,AL3 6AB,51.750633,-0.365437
65 Cavendish Place,Guildford,GU2 4EB,51.226427,-0.579503
276 Albert Royds Street,Torridge,EX31 3LH,51.00842,-4.058267
17 Mason Close,North Yorkshire,HG1 3DH,54.011199,-1.531381
7 Windsor Court,Medway,ME2 2AH,51.389709,0.489781
26 Timberley Drive,Wirral,CH42 1AH,53.3671,-2.99816
4 Oaklands,Croydon,SE25 4JJ,51.39925,-0.066071
8 Adlington Avenue,Medway,ME2 2NJ,51.38853,0.484284
26 Baxter Court,North Ayrshire,KA12 9EW,55.628678,-4.664046
3 Rose Avenue,Sheffield,S17 3BL,53.307407,-1.556677
4 Church Street,Southend-on-Sea,SS0 9DL,51.546557,0.694708
3 Copperhouse View,West Oxfordshire,OX29 7DX,51.792076,-1.516698
5 Elmtree Grove,Central Bedfordshire,SG17 5TE,52.020704,-0.312526
"Unit 1, Steeple Court, Cambridge Street",St Albans,AL2 2SD,51.716257,-0.351702
24 James Lloyd Drive,Birmingham,B17 8AE,52.469908,-1.971781
762 Beechley Drive,Renfrewshire,PA3 2JA,55.849729,-4.428842
79 Beach Street,Doncaster,DN3 1RQ,53.57216,-1.066586
"Unit C, Meadow View Business Park, Winchester Road",Sunderland,SR4 8QF,54.894175,-1.416449
3 Worsten Avenue,Hammersmith and Fulham,SW6 2ZH,51.474965,-0.182822
5 Caewern,Fareham,PO14 2NQ,50.814884,-1.214257
85 Bury Road,Bracknell Forest,RG12 2TS,51.416827,-0.73538
15 Parkside,Maidstone,ME17 1QN,51.283753,0.661926
167 Pavilion Road,County Durham,DL13 1HS,54.746371,-2.229
2 Onedin Close,Westmorland and Furness,LA14 5AR,54.121794,-3.226111
15 Delaware Road,Staffordshire Moorlands,ST13 8HY,53.09801,-2.038131
"Flat 23, The Waters Edge Apartments, Eastwood Road",Harrow,HA7 2LA,51.595341,-0.309406
12 Birch Drive,East Riding of Yorkshire,YO15 3AU,54.081175,-0.194094
3 South Sea Road,Newcastle-under-Lyme,ST7 4PP,53.092233,-2.213147
Ffridd Fach,South Oxfordshire,RG9 2DS,51.53842,-0.907593
"The Orchard, Lambfair Green",Rochdale,OL16 2UF,53.62853,-2.139723
1 Ambleside Close,Lambeth,SE11 5PZ,51.487225,-0.114666
5 Castle Mews,Isle of Wight,PO33 1LW,50.723455,-1.150179
81 Fernhill Road,Shropshire,SY8 2LB,52.380369,-2.801734
5 Island Avenue,Dudley,DY5 2XH,52.472137,-2.113629
"Duckworth Cottage, Station Road",Bradford,LS29 6BA,53.885823,-1.744481
26 Kirkland Close,Fenland,PE16 6PR,52.459043,0.050161
91 Windingbrook Lane,Isle of Anglesey,LL65 1TA,53.307069,-4.637585
"1 Attfield Cottages, Littlefield Common",North Lincolnshire,DN15 5FR,53.585903,-0.654589
11 Bush Close,Merton,SW20 8AT,51.416643,-0.224704
"2 Wintersell Farm Cottage, Dwelly Lane",Slough,SL2 2NL,51.530809,-0.650554
21 Merlin Close,Ipswich,IP3 0AZ,52.044531,1.165062
"Kestrel Grove Nursing Home, Peveril Court",Cherwell,OX25 6NE,51.956208,-1.277578
3 Abbey House,North Lincolnshire,DN16 3PS,53.552741,-0.649677
Tunstall Farmhouse,North East Lincolnshire,DN32 8LD,53.560143,-0.055032
28 Towneley Avenue,Leeds,LS12 9EH,53.792822,-1.596419
4 Parklands Mews,County Durham,DL14 9QN,54.616662,-1.758309
266 Desborough Avenue,Oxford,OX1 4LH,51.745514,-1.257869
"Quarry Lodge, Lord Street",Vale of White Horse,SN7 8DB,51.656209,-1.588891
23 Rainsford Crescent,South Ayrshire,KA7 4TE,55.436125,-4.61548
2 Plantation Park,Milton Keynes,MK4 1AL,52.011605,-0.754687
"Flat 4, 3 Bethwin Road",Highland,IV20 1YS,57.834976,-3.827574
"Woodland Cottage, Green Bank Lane",Southwark,SE22 2FT,51.454245,-0.072905
8 Gresley Close,Fife,KY1 2LF,56.129175,-3.160502
6 Catkin Close,Causeway Coast and Glens,BT52 1WA,55.115956,-6.641146
20 Wood Road,Bexley,DA16 2AX,51.461913,0.108021
1 Willington Avenue,Nottingham,NG2 4ND,52.953774,-1.125917
